Padham_iso_15919,Padham
cir malkum,சீர் மல்கும்
ayppati,ஆய்ப்பாடி
celvam cirumirkal,செல்வம் சிறுமீர்காள்
ner ilaiyir,நேர் இழையீர்
markali tinkal,மார்கழி திங்கள்
mati nirainta nal nal,மதி நிறைந்த நல் நாள்
kur vel-kurmai poruntiya velayutattai yutaiyavanum,கூர் வேல்–கூர்மை பொருந்திய வேலாயுதத்தை யுடையவனும்
kotu tolilan,கொடு தொழிலன்
nantakopan,நந்தகோபன்
kumaran,குமரன்
er arnta kanni,ஏர் ஆர்ந்த கண்ணி
acotai,அசோதை
ila cinkam,இள சிங்கம்
kar meni,கார் மேனி
cem kan,செம் கண்
katir matiyam pol mukattan,கதிர் மதியம் போல் முகத்தான்
narayanane,நாராயணணே
namakke,நமக்கே
parai,பறை
taruvan,தருவான்
al,ஆல்
paror,பாரோர்
pukala,புகழ
patintu,படிந்து
nir ata potuvir,நீர் ஆட போதுவீர்
potumin,போதுமின்
el or empavay.,ஏல் ஓர் எம்பாவாய்.
